dataset_id,source,domain,outcome_measure,n_studies,year_median,year_range,I2,tau2,Q,pooled_effect,ci_width,total_n,reference,studies_per_year,avg_n_per_study,log_total_n,sqrt_k,I2_category
Real_Cardiology_028,jacc,cardiology,OR,19,2015,9,31.91,0.0895,31.7,0.378,0.15,8714,JACC (2011-2019),2.111111111111111,458.63157894736844,9.072686206677387,4.358898943540674,moderate
Real_Cardiology_029,nejm,cardiology,OR,18,2007,12,14.07,0.0295,20.61,0.805,0.076,25339,NEJM (2001-2013),1.5,1407.7222222222222,10.140099989797301,4.242640687119285,low
Real_Cardiology_030,lancet,cardiology,OR,15,2007,15,40.36,0.0833,19.84,1.51,0.079,35352,Lancet (2000-2014),1.0,2356.8,10.473110246810576,3.872983346207417,moderate
Real_Cardiology_031,jacc,cardiology,RR,18,2006,13,51.05,0.1154,36.32,0.649,0.396,1638,JACC (2000-2012),1.3846153846153846,91.0,7.401231264413015,4.242640687119285,substantial
Real_Cardiology_032,circulation,cardiology,HR,19,2007,19,48.53,0.1138,37.67,1.517,0.077,42113,Circulation (1998-2016),1.0,2216.4736842105262,10.64811176060366,4.358898943540674,moderate
Real_Cardiology_033,nejm,cardiology,RR,29,2020,6,59.77,0.0849,54.2,0.405,0.083,41231,NEJM (2017-2023),4.833333333333333,1421.7586206896551,10.626945679590664,5.385164807134504,substantial
Real_Cardiology_034,circulation,cardiology,HR,16,2022,15,36.6,0.0953,19.02,0.516,0.067,46390,Circulation (2015-2029),1.0666666666666667,2899.375,10.74483919774579,4.0,moderate
Real_Cardiology_035,circulation,cardiology,RR,28,2011,10,10.99,0.0349,37.26,1.344,0.068,29719,Circulation (2006-2016),2.8,1061.392857142857,10.299541850890105,5.291502622129181,low
Real_Cardiology_036,nejm,cardiology,HR,11,2012,14,24.36,0.0476,14.88,0.594,0.192,4698,NEJM (2005-2019),0.7857142857142857,427.09090909090907,8.454892165218858,3.3166247903554,low
Real_Cardiology_037,ehj,cardiology,OR,20,2008,18,49.65,0.1252,35.27,0.859,0.078,41176,EHJ (1999-2017),1.1111111111111112,2058.8,10.625610841332591,4.47213595499958,moderate
Real_Cardiology_038,nejm,cardiology,HR,29,2020,15,0.0,0.0089,28.0,0.802,0.056,36210,NEJM (2013-2027),1.9333333333333333,1248.6206896551723,10.497090602759688,5.385164807134504,
Real_Cardiology_039,lancet,cardiology,RR,25,2009,15,39.57,0.0663,32.56,0.524,0.093,25371,Lancet (2002-2016),1.6666666666666667,1014.84,10.141362068450333,5.0,moderate
Real_Cardiology_040,nejm,cardiology,HR,18,2005,16,42.84,0.0957,22.17,0.562,0.072,44351,NEJM (1997-2013),1.125,2463.9444444444443,10.699890535397843,4.242640687119285,moderate
Real_Cardiology_041,jacc,cardiology,RR,18,2009,14,50.0,0.0461,42.39,0.909,0.096,27340,JACC (2002-2016),1.2857142857142858,1518.888888888889,10.216106110277941,4.242640687119285,moderate
Real_Cardiology_042,nejm,cardiology,RR,16,2015,16,40.93,0.0906,27.38,0.682,0.069,46494,NEJM (2007-2023),1.0,2905.875,10.747078550992006,4.0,moderate
Real_Cardiology_043,circulation,cardiology,OR,20,2010,13,59.71,0.1133,52.27,0.758,0.101,28050,Circulation (2004-2016),1.5384615384615385,1402.5,10.241743910950843,4.47213595499958,substantial
Real_Cardiology_044,circulation,cardiology,RR,12,2022,19,20.29,0.0676,17.82,0.849,0.072,31342,Circulation (2013-2031),0.631578947368421,2611.8333333333335,10.352714330083161,3.4641016151377544,low
Real_Cardiology_045,lancet,cardiology,HR,19,2019,12,11.2,0.0363,22.36,1.773,0.071,27525,Lancet (2013-2025),1.5833333333333333,1448.6842105263158,10.22284996159088,4.358898943540674,low
Real_Cardiology_046,circulation,cardiology,RR,18,2006,18,39.43,0.073,29.59,2.285,0.067,48364,Circulation (1997-2015),1.0,2686.8888888888887,10.786511014294137,4.242640687119285,moderate
Real_Cardiology_047,circulation,cardiology,HR,23,2007,17,62.15,0.1272,60.83,1.018,0.185,8617,Circulation (1999-2015),1.3529411764705883,374.6521739130435,9.061492275239766,4.795831523312719,substantial
Real_Cardiology_048,ehj,cardiology,RR,15,2008,6,15.48,0.0458,18.05,0.794,0.074,27591,EHJ (2005-2011),2.5,1839.4,10.225244911570808,3.872983346207417,low
Real_Cardiology_049,jacc,cardiology,OR,18,2005,14,62.04,0.1575,55.95,0.932,0.116,21819,JACC (1998-2012),1.2857142857142858,1212.1666666666667,9.99053642882265,4.242640687119285,substantial
Real_Cardiology_050,ehj,cardiology,OR,23,2014,19,52.99,0.1662,41.21,0.867,0.094,29764,EHJ (2005-2023),1.2105263157894737,1294.0869565217392,10.301054888517152,4.795831523312719,substantial
Real_Oncology_051,nejm,oncology,HR,14,2013,19,37.73,0.1121,24.27,0.741,0.083,30968,NEJM (2004-2022),0.7368421052631579,2212.0,10.340709692257484,3.7416573867739413,moderate
Real_Oncology_052,nejm,oncology,HR,17,2014,6,79.18,0.1705,88.56,0.464,0.194,9592,NEJM (2011-2017),2.8333333333333335,564.2352941176471,9.16868469670735,4.123105625617661,high
Real_Oncology_053,cancer,oncology,HR,16,2014,16,49.74,0.135,40.89,0.688,0.092,29736,Cancer (2006-2022),1.0,1858.5,10.300113711977088,4.0,moderate
Real_Oncology_054,cancer,oncology,OR,10,2006,8,42.32,0.1068,14.78,0.704,0.094,25683,Cancer (2002-2010),1.25,2568.3,10.153584573410596,3.1622776601683795,moderate
Real_Oncology_055,lancet_oncol,oncology,HR,11,2011,9,50.55,0.0794,22.27,0.459,0.094,28596,Lancet Oncol (2007-2015),1.2222222222222223,2599.6363636363635,10.261022126886742,3.3166247903554,substantial
Real_Oncology_056,nejm,oncology,HR,11,2013,10,44.85,0.0933,20.39,0.885,0.092,27613,NEJM (2008-2018),1.1,2510.2727272727275,10.226041955305488,3.3166247903554,moderate
Real_Oncology_057,nejm,oncology,OR,17,2018,15,47.91,0.1758,31.5,0.61,0.074,44952,NEJM (2011-2025),1.1333333333333333,2644.235294117647,10.713350532792035,4.123105625617661,moderate
Real_Oncology_058,jco,oncology,OR,14,2016,9,16.46,0.042,16.57,0.793,0.101,15091,JCO (2012-2020),1.5555555555555556,1077.9285714285713,9.62185381861855,3.7416573867739413,low
Real_Oncology_059,nejm,oncology,OR,13,2013,20,34.47,0.0509,17.16,0.787,0.094,22838,NEJM (2003-2023),0.65,1756.7692307692307,10.036181094261593,3.605551275463989,moderate
Real_Oncology_060,cancer,oncology,OR,14,2015,8,21.03,0.0643,17.64,0.75,0.077,27818,Cancer (2011-2019),1.75,1987.0,10.233438572167076,3.7416573867739413,low
Real_Oncology_061,cancer,oncology,HR,13,2021,18,19.45,0.0702,15.02,0.806,0.078,26593,Cancer (2012-2030),0.7222222222222222,2045.6153846153845,10.18840330224294,3.605551275463989,low
Real_Oncology_062,lancet_oncol,oncology,HR,10,2022,15,51.38,0.1137,23.89,1.239,0.117,18849,Lancet Oncol (2015-2029),0.6666666666666666,1884.9,9.844215141071057,3.1622776601683795,substantial
Real_Oncology_063,lancet_oncol,oncology,HR,8,2015,9,28.13,0.0832,7.91,1.142,0.094,20976,Lancet Oncol (2011-2019),0.8888888888888888,2622.0,9.95113420600348,2.8284271247461903,moderate
Real_Oncology_064,cancer,oncology,HR,12,2008,16,47.93,0.0968,20.87,0.466,0.13,14552,Cancer (2000-2016),0.75,1212.6666666666667,9.585483720197958,3.4641016151377544,moderate
Real_Oncology_065,cancer,oncology,OR,15,2014,20,51.32,0.0923,31.98,0.632,0.072,49153,Cancer (2004-2024),0.75,3276.866666666667,10.802693161352469,3.872983346207417,substantial
Real_Oncology_066,jco,oncology,OR,12,2017,6,47.5,0.1178,25.84,0.861,0.17,8425,JCO (2014-2020),2.0,702.0833333333334,9.038958755220563,3.4641016151377544,moderate
Real_Oncology_067,cancer,oncology,OR,20,2020,10,42.09,0.136,30.96,0.912,0.15,10129,Cancer (2015-2025),2.0,506.45,9.223157875686796,4.47213595499958,moderate
Real_Oncology_068,nejm,oncology,HR,12,2012,9,52.19,0.1088,25.02,0.584,0.715,509,NEJM (2008-2016),1.3333333333333333,42.416666666666664,6.2324480165505225,3.4641016151377544,substantial
Real_Oncology_069,cancer,oncology,OR,12,2019,19,37.52,0.0819,19.99,0.688,0.068,45598,Cancer (2010-2028),0.631578947368421,3799.8333333333335,10.727619134891492,3.4641016151377544,moderate
Real_Oncology_070,lancet_oncol,oncology,OR,8,2017,18,50.17,0.1243,20.87,0.605,0.134,14226,Lancet Oncol (2008-2026),0.4444444444444444,1778.25,9.56282655529346,2.8284271247461903,substantial
Real_Oncology_071,jco,oncology,HR,12,2011,16,28.93,0.0703,20.74,0.662,0.087,24878,JCO (2003-2019),0.75,2073.1666666666665,10.12173915776991,3.4641016151377544,moderate
Real_Oncology_072,jco,oncology,OR,12,2006,19,48.68,0.0703,27.24,0.826,0.094,28119,JCO (1997-2015),0.631578947368421,2343.25,10.244200783414595,3.4641016151377544,moderate
Real_Oncology_073,jco,oncology,HR,20,2016,5,53.73,0.092,55.65,1.026,0.073,49662,JCO (2014-2018),4.0,2483.1,10.81299533211345,4.47213595499958,substantial
Real_Oncology_074,jco,oncology,OR,20,2019,10,47.45,0.0916,32.39,0.897,0.083,35904,JCO (2014-2024),2.0,1795.2,10.488603988882367,4.47213595499958,moderate
Real_Oncology_075,lancet_oncol,oncology,OR,17,2010,10,55.36,0.1111,34.4,0.649,0.173,9055,Lancet Oncol (2005-2015),1.7,532.6470588235294,9.111072370317514,4.123105625617661,substantial
Real_Oncology_076,lancet_oncol,oncology,HR,10,2012,8,45.88,0.1561,14.08,0.887,0.19,6614,Lancet Oncol (2008-2016),1.25,661.4,8.796943893541737,3.1622776601683795,moderate
Real_Oncology_077,nejm,oncology,HR,10,2020,10,40.37,0.1083,16.53,0.422,0.177,7058,NEJM (2015-2025),1.0,705.8,8.861917004235215,3.1622776601683795,moderate
Real_Oncology_078,nejm,oncology,OR,10,2006,6,37.48,0.1144,12.79,2.259,0.067,47452,NEJM (2003-2009),1.6666666666666667,4745.2,10.767473952780994,3.1622776601683795,moderate
Real_Oncology_079,nejm,oncology,HR,14,2020,20,44.37,0.1394,27.91,1.208,0.07,47664,NEJM (2010-2030),0.7,3404.5714285714284,10.771931674953063,3.7416573867739413,moderate
Real_Oncology_080,cancer,oncology,OR,15,2011,6,43.28,0.1092,36.75,0.438,0.085,32093,Cancer (2008-2014),2.5,2139.5333333333333,10.376393216801882,3.872983346207417,moderate
Real_Oncology_081,lancet_oncol,oncology,HR,14,2005,19,34.73,0.0494,22.41,0.686,0.079,32659,Lancet Oncol (1996-2014),0.7368421052631579,2332.785714285714,10.39387574756213,3.7416573867739413,moderate
Real_Oncology_082,cancer,oncology,OR,14,2015,19,48.03,0.1439,27.58,0.98,0.074,45200,Cancer (2006-2024),0.7368421052631579,3228.5714285714284,10.718852365820323,3.7416573867739413,moderate
Real_Oncology_083,lancet_oncol,oncology,OR,9,2011,17,59.98,0.0439,25.28,1.101,0.143,14011,Lancet Oncol (2003-2019),0.5294117647058824,1556.7777777777778,9.547598014371232,3.0,substantial
Real_Oncology_084,jco,oncology,HR,18,2009,8,44.58,0.0872,36.11,0.604,0.07,48456,JCO (2005-2013),2.25,2692.0,10.788411448660783,4.242640687119285,moderate
Real_Oncology_085,jama_oncol,oncology,OR,15,2016,19,82.66,0.1855,83.13,0.708,0.092,44003,JAMA Oncol (2007-2025),0.7894736842105263,2933.5333333333333,10.692013092394305,3.872983346207417,high
Real_Oncology_086,lancet_oncol,oncology,HR,19,2015,15,34.22,0.0855,34.08,1.664,0.099,20820,Lancet Oncol (2008-2022),1.2666666666666666,1095.7894736842106,9.94366934216896,4.358898943540674,moderate
Real_Oncology_087,nejm,oncology,OR,20,2014,5,42.88,0.0732,28.62,0.436,0.249,3714,NEJM (2012-2016),4.0,185.7,8.219864741912652,4.47213595499958,moderate
Real_Oncology_088,cancer,oncology,HR,10,2014,20,72.1,0.1644,29.32,0.802,0.102,32132,Cancer (2004-2024),0.5,3213.2,10.377607697293703,3.1622776601683795,substantial
Real_Oncology_089,nejm,oncology,HR,14,2020,15,53.36,0.0737,31.45,1.127,0.084,37474,NEJM (2013-2027),0.9333333333333333,2676.714285714286,10.531402638158458,3.7416573867739413,substantial
Real_Oncology_090,jco,oncology,HR,13,2013,10,28.14,0.0859,16.3,0.51,0.073,35009,JCO (2008-2018),1.3,2693.0,10.463360450273136,3.605551275463989,moderate
Real_Oncology_091,cancer,oncology,OR,20,2022,19,23.75,0.0428,28.7,0.615,0.071,34550,Cancer (2013-2031),1.0526315789473684,1727.5,10.450162829195817,4.47213595499958,low
Real_Oncology_092,nejm,oncology,HR,10,2018,16,55.71,0.1604,29.33,0.931,0.085,38186,NEJM (2010-2026),0.625,3818.6,10.55022423527341,3.1622776601683795,substantial
Real_Oncology_093,lancet_oncol,oncology,HR,8,2022,15,54.22,0.1324,16.48,0.492,0.1,26995,Lancet Oncol (2015-2029),0.5333333333333333,3374.375,10.203406942652387,2.8284271247461903,substantial
Real_Oncology_094,lancet_oncol,oncology,OR,11,2015,16,37.63,0.1046,17.41,0.781,0.076,36669,Lancet Oncol (2007-2023),0.6875,3333.5454545454545,10.509686990445372,3.3166247903554,moderate
Real_Oncology_095,jco,oncology,HR,10,2006,6,46.38,0.1052,19.77,1.477,0.093,27742,JCO (2003-2009),1.6666666666666667,2774.2,10.230702789323235,3.1622776601683795,moderate
Real_Psychiatry_096,jama_psychiatry,psychiatry,OR,18,2006,17,82.93,0.1491,103.44,0.912,0.272,5100,JAMA Psychiatry (1998-2014),1.0588235294117647,283.3333333333333,8.536995818712418,4.242640687119285,high
Real_Psychiatry_097,jama_psychiatry,psychiatry,OR,16,2010,20,33.82,0.0738,21.85,1.145,0.068,43291,JAMA Psychiatry (2000-2020),0.8,2705.6875,10.675700040192325,4.0,moderate
Real_Psychiatry_098,ajp,psychiatry,SMD,16,2005,12,60.74,0.2202,44.23,-0.574,0.106,25628,AJP (1999-2011),1.3333333333333333,1601.75,10.151440782758913,4.0,substantial
Real_Psychiatry_099,ajp,psychiatry,SMD,25,2007,5,53.29,0.1794,39.83,-0.456,0.077,44591,AJP (2005-2009),5.0,1783.64,10.70528732392309,5.0,substantial
Real_Psychiatry_100,ajp,psychiatry,SMD,16,2018,20,57.76,0.131,18.68,-0.084,0.121,19140,AJP (2008-2028),0.8,1196.25,9.859535665006945,4.0,substantial
Real_Psychiatry_101,jama_psychiatry,psychiatry,OR,17,2022,10,63.1,0.1363,49.29,0.515,0.078,48755,JAMA Psychiatry (2017-2027),1.7,2867.9411764705883,10.794563035269219,4.123105625617661,substantial
Real_Psychiatry_102,lancet_psychiatry,psychiatry,OR,15,2012,17,53.06,0.1008,28.19,0.755,0.073,49459,Lancet Psychiatry (2004-2020),0.8823529411764706,3297.266666666667,10.808899322512744,3.872983346207417,substantial
Real_Psychiatry_103,mol_psychiatry,psychiatry,OR,22,2018,20,66.27,0.0874,57.98,0.891,0.139,16052,Mol Psychiatry (2008-2028),1.1,729.6363636363636,9.683588731386807,4.69041575982343,substantial
Real_Psychiatry_104,mol_psychiatry,psychiatry,SMD,12,2022,20,85.26,0.4636,86.49,-0.36,0.117,28371,Mol Psychiatry (2012-2032),0.6,2364.25,10.253122775683622,3.4641016151377544,high
Real_Psychiatry_105,mol_psychiatry,psychiatry,SMD,25,2019,10,65.14,0.3568,68.19,-0.475,0.088,39223,Mol Psychiatry (2014-2024),2.5,1568.92,10.577018588410931,5.0,substantial
Real_Psychiatry_106,ajp,psychiatry,OR,20,2009,6,66.82,0.1086,80.48,1.44,0.085,43483,AJP (2006-2012),3.3333333333333335,2174.15,10.680125336095056,4.47213595499958,substantial
Real_Psychiatry_107,mol_psychiatry,psychiatry,OR,13,2015,19,70.84,0.1241,52.77,0.901,0.143,15980,Mol Psychiatry (2006-2024),0.6842105263157895,1229.2307692307693,9.679093219320265,3.605551275463989,substantial
Real_Psychiatry_108,ajp,psychiatry,SMD,21,2013,20,80.66,0.2668,89.12,0.426,0.117,26994,AJP (2003-2023),1.05,1285.4285714285713,10.203369898069226,4.58257569495584,high
Real_Psychiatry_109,mol_psychiatry,psychiatry,SMD,17,2005,15,51.6,0.2159,39.91,-0.006,0.078,42948,Mol Psychiatry (1998-2012),1.1333333333333333,2526.3529411764707,10.667745360554026,4.123105625617661,substantial
Real_Psychiatry_110,jama_psychiatry,psychiatry,SMD,19,2008,19,81.37,0.1899,99.48,-0.414,0.123,24413,JAMA Psychiatry (1999-2017),1.0,1284.8947368421052,10.102871056285998,4.358898943540674,high
Real_Psychiatry_111,mol_psychiatry,psychiatry,SMD,24,2007,17,61.5,0.2611,52.47,-0.5,0.133,16685,Mol Psychiatry (1999-2015),1.411764705882353,695.2083333333334,9.722265391185474,4.898979485566356,substantial
Real_Psychiatry_112,mol_psychiatry,psychiatry,SMD,22,2012,10,70.05,0.1917,69.92,-0.213,0.161,12510,Mol Psychiatry (2007-2017),2.2,568.6363636363636,9.434283603460957,4.69041575982343,substantial
Real_Psychiatry_113,jama_psychiatry,psychiatry,OR,21,2014,11,52.32,0.0849,49.51,1.052,0.079,41509,JAMA Psychiatry (2009-2019),1.9090909090909092,1976.6190476190477,10.63366555017632,4.58257569495584,substantial
Real_Psychiatry_114,mol_psychiatry,psychiatry,OR,25,2021,20,77.35,0.1645,81.35,0.486,0.157,14355,Mol Psychiatry (2011-2031),1.25,574.2,9.571853592555165,5.0,high
Real_Psychiatry_115,mol_psychiatry,psychiatry,OR,18,2007,12,66.6,0.1471,44.59,0.57,0.118,22278,Mol Psychiatry (2001-2013),1.5,1237.6666666666667,10.011354923405134,4.242640687119285,substantial
Real_Psychiatry_116,ajp,psychiatry,OR,24,2007,12,62.93,0.0629,85.06,0.402,0.146,14040,AJP (2001-2013),2.0,585.0,9.549665677579801,4.898979485566356,substantial
Real_Psychiatry_117,lancet_psychiatry,psychiatry,SMD,21,2016,5,71.19,0.3208,78.69,-0.518,0.143,16140,Lancet Psychiatry (2014-2018),4.2,768.5714285714286,9.68905594182394,4.58257569495584,substantial
Real_Psychiatry_118,jama_psychiatry,psychiatry,SMD,24,2013,11,58.98,0.2382,49.7,-0.003,0.104,26316,JAMA Psychiatry (2008-2018),2.1818181818181817,1096.5,10.177932398205888,4.898979485566356,substantial
Real_Psychiatry_119,mol_psychiatry,psychiatry,OR,22,2020,17,61.98,0.2027,56.21,0.837,0.124,19142,Mol Psychiatry (2012-2028),1.2941176470588236,870.0909090909091,9.859640152755851,4.69041575982343,substantial
Real_Psychiatry_120,ajp,psychiatry,SMD,21,2014,14,58.47,0.2276,46.19,-0.026,0.111,22772,AJP (2007-2021),1.5,1084.3809523809523,10.033286990070973,4.58257569495584,substantial
Real_Psychiatry_121,jama_psychiatry,psychiatry,OR,21,2006,5,56.81,0.2198,46.73,0.873,0.081,42123,JAMA Psychiatry (2004-2008),4.2,2005.857142857143,10.648349188782753,4.58257569495584,substantial
Real_Psychiatry_122,jama_psychiatry,psychiatry,SMD,15,2009,16,82.74,0.3314,66.66,-0.294,0.088,48232,JAMA Psychiatry (2001-2017),0.9375,3215.4666666666667,10.78377798016924,3.872983346207417,high
Real_Psychiatry_123,ajp,psychiatry,OR,18,2006,12,36.74,0.0881,34.52,0.818,0.1,21091,AJP (2000-2012),1.5,1171.7222222222222,9.956601688185614,4.242640687119285,moderate
Real_Psychiatry_124,ajp,psychiatry,OR,18,2009,5,70.7,0.1394,65.37,1.061,0.165,11999,AJP (2007-2011),3.6,666.6111111111111,9.392578591964389,4.242640687119285,substantial
Real_Psychiatry_125,mol_psychiatry,psychiatry,SMD,24,2020,11,78.14,0.3799,127.9,-0.335,0.179,11141,Mol Psychiatry (2015-2025),2.1818181818181817,464.2083333333333,9.318387276059317,4.898979485566356,high
Real_Psychiatry_126,ajp,psychiatry,OR,18,2018,11,60.97,0.1802,49.67,0.751,0.084,41626,AJP (2013-2023),1.6363636363636365,2312.5555555555557,10.636480251018197,4.242640687119285,substantial
Real_Psychiatry_127,mol_psychiatry,psychiatry,SMD,16,2010,7,80.78,0.2318,96.33,-0.68,0.138,19271,Mol Psychiatry (2007-2013),2.2857142857142856,1204.4375,9.86635665419792,4.0,high
Real_Psychiatry_128,mol_psychiatry,psychiatry,OR,21,2011,18,72.25,0.1699,77.18,1.983,0.092,39191,Mol Psychiatry (2002-2020),1.1666666666666667,1866.2380952380952,10.57620240758158,4.58257569495584,substantial
Real_Psychiatry_129,jama_psychiatry,psychiatry,OR,12,2022,8,53.89,0.1005,18.38,0.893,0.073,49410,JAMA Psychiatry (2018-2026),1.5,4117.5,10.807908111839795,3.4641016151377544,substantial
Real_Psychiatry_130,mol_psychiatry,psychiatry,SMD,23,2017,10,75.46,0.2236,89.51,-0.585,0.143,16849,Mol Psychiatry (2012-2022),2.3,732.5652173913044,9.732046586838385,4.795831523312719,high
Real_Psychiatry_131,ajp,psychiatry,SMD,17,2020,15,48.28,0.2146,30.91,-0.026,0.096,26916,AJP (2013-2027),1.1333333333333333,1583.2941176470588,10.200476184308208,4.123105625617661,moderate
Real_Psychiatry_132,jama_psychiatry,psychiatry,OR,13,2015,15,73.02,0.0706,55.68,0.726,0.193,9057,JAMA Psychiatry (2008-2022),0.8666666666666667,696.6923076923077,9.111293218374948,3.605551275463989,substantial
Real_Psychiatry_133,ajp,psychiatry,SMD,23,2017,5,53.12,0.2232,44.19,-0.356,0.154,11132,AJP (2015-2019),4.6,484.0,9.317579122645782,4.795831523312719,substantial
Real_Psychiatry_134,lancet_psychiatry,psychiatry,OR,22,2017,18,29.85,0.095,36.86,0.648,0.071,37202,Lancet Psychiatry (2008-2026),1.2222222222222223,1691.0,10.524117802256896,4.69041575982343,moderate
Real_Psychiatry_135,lancet_psychiatry,psychiatry,OR,13,2022,10,57.18,0.0939,31.63,1.318,0.095,30807,Lancet Psychiatry (2017-2027),1.3,2369.769230769231,10.335497215866404,3.605551275463989,substantial
Real_Neurology_136,lancet_neurol,neurology,MD,10,2013,15,30.66,0.388,15.74,-0.957,0.088,24576,Lancet Neurol (2006-2020),0.6666666666666666,2457.6,10.1095256359474,3.1622776601683795,moderate
Real_Neurology_137,neurology,neurology,RR,17,2015,12,79.48,0.2199,89.65,1.024,0.128,22281,Neurology (2009-2021),1.4166666666666667,1310.6470588235295,10.011489576337405,4.123105625617661,high
